"폭력범죄",폭력행위등,46729,7874,6056,2383,2377,1915,4053,5391,10009,6671,46725,6915,5910,2470,2558,2787,4079,5376,9879,6751,41704,6152,5395,2172,2358,2484,3442,4976,9018,5707,37689,5408,4669,1996,2307,2353,3057,4733,8064,5102,35686,4878,4422,2023,2292,2242,3055,4434,7543,4797,13302,2136,2002,758,667,741,979,1427,2651,1941,11255,1870,1796,588,552,592,810,1175,2304,1568,9204,1415,1505,516,463,503,752,943,1693,1414,8350,1234,1263,460,450,508,704,936,1427,1368,7398,1116,1025,394,424,475,632,802,1247,1283,6484,640,518,265,333,460,592,913,1694,1069,6745,762,588,275,331,403,552,890,1660,1284
"폭력범죄",공갈,5239,334,130,222,375,417,1013,807,519,1422,6698,207,165,269,612,758,1173,935,591,1988,4310,164,108,150,338,378,641,673,478,1380,4862,229,150,94,422,328,526,664,618,1831,3596,143,85,93,313,291,387,510,417,1357,3745,161,106,88,353,326,435,449,381,1446,4152,150,81,85,403,298,478,654,603,1400,4096,119,91,65,304,340,485,587,491,1614,4847,135,122,74,388,455,590,599,507,1977,5281,120,106,59,345,477,647,655,486,2386,5131,127,75,65,301,497,658,622,464,2322,6904,183,81,98,293,672,859,834,691,3193
"폭력범죄",손괴,61444,7676,4813,3400,4408,2704,5889,11460,14208,6886,60712,6316,4938,3621,4486,4224,6059,10694,13566,6808,57813,5957,4850,3445,4512,4005,5725,10224,12599,6496,57997,5654,4656,3630,4664,4268,5890,10249,12264,6722,58977,5681,4597,3860,5208,4560,6117,10103,11968,6883,59127,5793,4615,3924,5178,4860,6210,9796,11768,6983,56283,5291,4704,3960,5085,4506,5994,9130,11014,6599,56684,5213,4524,3905,5130,4694,6144,9066,10633,7375,58146,5107,4556,4014,5277,4983,6289,9323,10822,7775,58191,5001,4357,3971,5232,5198,6722,9381,10293,8036,54188,3363,2677,3295,5127,5209,6693,9354,10922,7548,56626,4323,3495,3612,5119,5197,6817,8948,10835,8280
"지능범죄",소계,279802,13910,4403,2651,43054,13961,14352,9068,9160,169243,295101,6268,4901,3423,49899,26924,17064,10618,10746,165258,329439,7976,5339,3392,55880,29908,21391,14495,13122,177936,298652,7172,5098,3589,51223,27536,19458,13961,12977,157638,316121,7629,5729,4386,53372,29583,21509,16461,15228,162224,312577,7790,6041,4932,52428,31328,22434,17644,16702,153278,302466,8144,6107,5147,53020,33174,23158,17306,16869,139541,344698,8064,6271,5373,49689,35810,27529,18963,17692,175307,381533,8393,6637,5971,49269,38231,28941,20981,19100,204010,424642,8553,6607,6507,49785,44125,36693,25697,20134,226541,361107,4510,3483,5322,36537,43434,39182,23055,16590,188994,405105,6686,4855,6556,34114,44938,43169,28810,22007,213970
"지능범죄",직무유기,377,10,2,-,68,12,22,10,5,248,496,4,6,5,110,27,18,17,10,299,555,3,4,2,161,51,22,12,6,294,577,4,1,5,143,61,26,9,5,323,507,5,3,4,110,50,25,7,10,293,531,3,5,7,132,38,19,11,9,307,504,-,3,8,140,37,16,11,5,284,581,3,2,3,117,31,26,7,10,382,590,2,3,8,123,33,21,9,5,386,730,2,4,9,137,47,29,11,6,485,957,4,5,7,99,33,30,16,6,757,1550,6,7,7,114,54,48,23,19,1272
"지능범죄",직권남용,226,14,8,3,41,11,9,9,3,128,276,11,4,6,43,29,17,6,11,149,325,9,5,10,60,25,19,17,26,154,364,10,8,10,85,33,19,15,17,167,401,11,16,2,98,28,29,18,24,175,437,16,10,11,76,44,29,20,33,198,494,14,7,10,92,48,37,26,25,235,603,10,12,12,123,60,26,24,20,316,674,8,11,12,135,48,40,26,15,379,724,11,10,11,145,64,38,26,22,397,875,10,4,11,79,49,31,40,29,622,1792,18,11,21,127,77,51,56,43,1388
"지능범죄",증수뢰,586,7,1,4,54,35,25,51,44,365,357,2,1,1,84,37,22,8,2,200,253,1,0,1,40,17,15,7,11,161,251,2,-,4,27,14,11,17,5,171,247,-,-,1,27,13,6,16,5,179,260,3,1,3,37,13,11,11,8,173,312,-,1,-,43,24,13,19,5,207,347,4,-,3,76,28,10,12,1,213,260,-,-,2,25,11,6,8,4,204,289,-,-,3,25,14,15,8,4,220,402,-,-,1,13,13,11,10,7,347,320,-,-,-,18,11,7,6,1,277
"지능범죄",통화,7900,359,31,100,2039,454,603,208,115,3991,8203,51,36,142,2018,777,590,209,133,4247,3874,28,21,45,819,335,301,157,69,2099,2770,25,28,83,554,273,246,146,81,1334,1822,18,21,58,334,187,179,86,50,889,1811,18,17,49,339,157,174,89,48,920,2794,8,19,89,558,291,306,97,55,1371,1194,8,1,28,211,114,117,37,11,667,980,9,9,27,183,115,95,41,22,479,626,2,6,18,95,67,65,19,17,337,376,5,9,7,62,50,50,19,9,165,452,4,-,14,83,57,52,17,10,215
"지능범죄",문서・인장,14948,485,80,59,2582,844,508,324,285,9781,14393,193,127,65,2364,994,538,359,432,9321,15385,177,97,77,2848,1088,662,340,355,9741,14441,162,114,63,2917,1072,546,299,325,8943,14546,201,143,118,2866,1073,566,402,385,8792,13295,215,151,85,2525,992,528,392,469,7938,12452,190,134,159,2438,1672,603,306,436,6514,12290,152,151,131,2636,1139,410,306,365,7000,11343,174,134,63,1688,747,464,275,290,7508,11533,147,82,74,1547,739,434,292,251,7967,10472,98,31,75,1045,601,384,248,157,7833,11259,87,70,104,953,705,500,335,236,8269
"지능범죄",유가증권인지,803,29,4,7,109,50,52,30,30,492,508,10,5,2,86,41,24,19,13,308,456,6,8,4,93,38,19,13,10,265,360,3,-,2,71,28,17,9,4,226,282,-,3,-,58,33,18,10,1,159,219,-,3,-,50,24,5,4,-,133,217,2,2,1,50,21,17,7,-,117,197,1,1,1,37,14,14,3,3,123,140,-,1,2,27,9,15,7,2,77,84,-,2,2,10,9,2,1,1,57,63,-,1,-,10,10,4,-,3,35,58,-,-,-,10,12,3,2,-,31
