"죄종별","항목","단위","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년",
"영아살해","미성년(여)[명]","명","","","","","","","","","3","3","1","2","","","","","","","","1","1",
"존속살해","발생건수[건]","건","","","","","6","6","6","4","5","10","8","9","11","4","13","10","5","8","9","9","23",
"존속살해","검거건수[건]","건","","","","","6","7","6","3","7","9","8","9","10","4","13","9","5","7","9","9","22",
"존속살해","검거율[%]","%","","","","","100","116.7","100","75","140","90","100","100","90.9","100","100","90","100","87.5","100","100","95.7",
"존속살해","검거인원(계)[명]","명","","","","","8","8","7","2","8","11","8","10","10","6","13","9","5","13","9","9","27",
"존속살해","검거인원(남)[명]","명","","","","","7","8","6","2","7","9","7","10","8","4","11","7","4","8","8","8","18",
"존속살해","검거인원(여)[명]","명","","","","","1","","1","","1","2","1","","2","2","2","2","1","5","1","1","9",
"존속살해","성년(계)[명]","명","","","","","7","5","6","2","7","10","8","8","10","6","13","9","4","11","9","7","25",
"존속살해","성년(남)[명]","명","","","","","6","5","5","2","6","8","7","8","8","4","11","7","3","6","8","6","17",
"존속살해","성년(여)[명]","명","","","","","1","","1","","1","2","1","","2","2","2","2","1","5","1","1","8",
"존속살해","미성년(계)[명]","명","","","","","1","3","1","","1","1","","2","","","","","1","2","","2","2",
"존속살해","미성년(남)[명]","명","","","","","1","3","1","","1","1","","2","","","","","1","2","","2","1",
"존속살해","미성년(여)[명]","명","","","","","","","","","","","","","","","","","","","","","1",
"촉탁·승락살인","발생건수[건]","건","","","","","","1","","","","","1","1","","","1","","","1","","","1",
"촉탁·승락살인","검거건수[건]","건","","","","","","1","","","","","1","1","1","","1","","","1","","","1",
"촉탁·승락살인","검거율[%]","%","","","","","-","100","-","-","-","-","100","100","100","-","100","-","-","100","-","-","100",
"촉탁·승락살인","검거인원(계)[명]","명","","","","","","1","","","","","1","1","1","","1","","","1","","","1",
"촉탁·승락살인","검거인원(남)[명]","명","","","","","","","","","","","1","1","1","","1","","","1","","","1",
"촉탁·승락살인","검거인원(여)[명]","명","","","","","","1","","","","","","","","","","","","","","","",
"촉탁·승락살인","성년(계)[명]","명","","","","","","1","","","","","","1","1","","1","","","1","","","1",
"촉탁·승락살인","성년(남)[명]","명","","","","","","","","","","","","1","1","","1","","","1","","","1",
"촉탁·승락살인","성년(여)[명]","명","","","","","","1","","","","","","","","","","","","","","","",
"촉탁·승락살인","미성년(계)[명]","명","","","","","","","","","","","1","","","","","","","","","","",
"촉탁·승락살인","미성년(남)[명]","명","","","","","","","","","","","1","","","","","","","","","","",
"자살교사·방조","발생건수[건]","건","","","","","","1","1","1","2","","","2","3","3","6","3","3","7","1","4","2",
"자살교사·방조","검거건수[건]","건","","","","","","1","1","1","2","","","2","3","3","6","3","3","6","","3","2",
"자살교사·방조","검거율[%]","%","","","","","-","100","100","100","100","-","-","100","100","100","100","100","100","85.7","0","75","100",
"자살교사·방조","검거인원(계)[명]","명","","","","","","1","1","1","2","","","3","3","3","8","5","3","9","1","4","2",
"자살교사·방조","검거인원(남)[명]","명","","","","","","1","1","1","2","","","1","3","2","7","4","2","9","1","3","2",
"자살교사·방조","검거인원(여)[명]","명","","","","","","","","","","","","2","","1","1","1","1","","","1","",
"자살교사·방조","성년(계)[명]","명","","","","","","1","","1","2","","","3","3","3","8","5","3","8","1","4","2",
"자살교사·방조","성년(남)[명]","명","","","","","","1","","1","2","","","1","3","2","7","4","2","8","1","3","2",
"자살교사·방조","성년(여)[명]","명","","","","","","","","","","","","2","","1","1","1","1","","","1","",
"자살교사·방조","미성년(계)[명]","명","","","","","","","1","","","","","","","","","","","1","","","",
"자살교사·방조","미성년(남)[명]","명","","","","","","","1","","","","","","","","","","","1","","","",
"위계·위력·촉탁·승락살인","발생건수[건]","건","","","","","","1","","1","2","","","1","","","1","","","","","","",
"위계·위력·촉탁·승락살인","검거건수[건]","건","","","","","","1","","1","2","","","1","","","1","","","","","","",
"위계·위력·촉탁·승락살인","검거율[%]","%","","","","","-","100","-","100","100","-","-","100","-","-","100","-","-","-","-","-","-",
"위계·위력·촉탁·승락살인","검거인원(계)[명]","명","","","","","","1","","1","6","","","1","","","1","","","","","","",
"위계·위력·촉탁·승락살인","검거인원(남)[명]","명","","","","","","1","","1","6","","","1","","","1","","","","","","",
"위계·위력·촉탁·승락살인","성년(계)[명]","명","","","","","","1","","1","6","","","1","","","1","","","","","","",
"위계·위력·촉탁·승락살인","성년(남)[명]","명","","","","","","1","","1","6","","","1","","","1","","","","","","",
"보통살인죄","발생건수[건]","건","96","112","114","130","","","","","","","","","","","","","","","","","",
"보통살인죄","검거건수[건]","건","89","111","131","144","","","","","","","","","","","","","","","","","",
"보통살인죄","검거율[%]","%","92.7","99.1","114.9","110.8","","","","","","","","","","","","","","","","","",
"보통살인죄","검거인원(계)[명]","명","120","139","151","164","","","","","","","","","","","","","","","","","",
"보통살인죄","검거인원(남)[명]","명","101","121","135","153","","","","","","","","","","","","","","","","","",
"보통살인죄","검거인원(여)[명]","명","19","18","16","11","","","","","","","","","","","","","","","","","",
"보통살인죄","성년(계)[명]","명","100","130","137","146","","","","","","","","","","","","","","","","","",
"보통살인죄","성년(남)[명]","명","83","112","122","135","","","","","","","","","","","","","","","","","",
"보통살인죄","성년(여)[명]","명","17","18","15","11","","","","","","","","","","","","","","","","","",
"보통살인죄","미성년(계)[명]","명","20","9","14","18","","","","","","","","","","","","","","","","","",
"보통살인죄","미성년(남)[명]","명","18","9","13","18","","","","","","","","","","","","","","","","","",
"보통살인죄","미성년(여)[명]","명","2","","1","","","","","","","","","","","","","","","","","","",
"존속살인죄","발생건수[건]","건","3","7","8","15","","","","","","","","","","","","","","","","","",
"존속살인죄","검거건수[건]","건","7","6","11","14","","","","","","","","","","","","","","","","","",
"존속살인죄","검거율[%]","%","233.3","85.7","137.5","93.3","","","","","","","","","","","","","","","","","",
"존속살인죄","검거인원(계)[명]","명","5","8","9","15","","","","","","","","","","","","","","","","","",
