"죄종별(1)",죄종별(2),2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일
"폭력범죄",폭력행위등,46729,8087,5983,6295,6114,6120,6310,7820,46725,8036,5831,6316,6122,6045,6416,7959,41704,7105,5280,5570,5466,5470,5646,7167,37689,6338,4813,4987,4954,5051,5187,6359,35686,6158,4626,4760,4788,4647,4808,5899,13302,2445,1586,1685,1667,1654,1845,2420,11255,2174,1402,1339,1447,1333,1522,2038,9204,1705,1175,1205,1088,1163,1206,1662,8350,1544,1126,1100,1086,1001,1063,1430,7398,1317,975,931,1008,919,960,1288,6484,1020,907,847,839,857,901,1113,6745,1186,883,891,832,835,915,1203
"폭력범죄",공갈,5239,727,780,713,752,774,724,769,6698,809,957,986,953,1016,1043,934,4310,490,682,592,585,664,724,573,4862,563,705,782,683,713,743,673,3596,439,532,579,495,546,548,457,3745,413,549,573,546,566,548,550,4152,518,622,555,648,668,633,508,4096,457,685,644,604,656,593,457,4847,483,818,740,757,744,756,549,5281,538,915,885,820,781,759,583,5131,552,877,844,789,780,722,567,6904,667,1207,1171,1079,1026,1001,753
"폭력범죄",손괴,61444,9219,8125,8319,8267,8065,9063,10386,60712,9136,7862,8244,8062,8106,9100,10202,57813,8529,7586,7897,7740,7905,8511,9645,57997,8446,7469,7759,7899,7914,8858,9652,58977,8864,7654,7896,8169,7981,8603,9810,59127,8865,7787,7974,7949,7990,8839,9723,56283,8519,7439,7507,7507,7674,8326,9311,56684,8479,7452,7767,7681,7514,8591,9200,58146,8617,7974,7634,7766,7989,8788,9378,58191,8589,7829,7884,7954,7901,8723,9311,54188,7633,7561,7389,7367,7529,8104,8605,56626,8251,7718,7612,7684,7679,8538,9144
"지능범죄",소계,279802,19160,47150,46132,46190,46204,48469,26497,295101,21334,48950,49910,48604,50237,50556,25510,329439,25279,56669,55160,53111,53760,55511,29949,298652,23301,50644,50155,48653,48444,50073,27382,316121,25517,52765,52300,51632,50774,52373,30760,312577,27222,50461,50826,51084,50809,51436,30739,302466,26875,48664,48753,48677,49578,49888,30031,344698,27392,56954,56076,56448,57746,58834,31248,381533,29037,64776,63173,62642,63327,64724,33854,424642,32442,73767,70867,69560,70131,70358,37517,361107,26069,63251,62213,59925,60576,58798,30275,405105,30173,68747,68148,66354,67742,68516,35425
"지능범죄",직무유기,377,16,60,60,69,67,76,29,496,34,81,87,96,86,73,39,555,44,106,92,85,81,97,50,577,43,121,75,97,88,112,41,507,31,99,104,85,69,81,38,531,43,99,89,91,86,94,29,504,35,98,70,99,92,78,32,581,39,105,92,92,114,103,36,590,24,108,123,106,99,102,28,730,36,152,119,134,117,123,49,957,29,200,178,166,180,165,39,1550,66,301,307,278,280,276,42
"지능범죄",직권남용,226,11,52,41,34,36,34,18,276,23,40,46,35,48,57,27,325,26,58,53,52,61,38,37,364,29,60,60,52,58,65,40,401,40,81,50,72,71,57,30,437,25,66,77,76,88,64,41,494,41,77,77,89,82,89,39,603,33,96,110,110,110,104,40,674,44,126,118,97,107,136,46,724,36,122,123,115,126,157,45,875,49,162,152,142,174,156,40,1792,75,345,344,314,370,277,67
"지능범죄",증수뢰,586,20,117,99,97,116,104,33,357,31,61,53,58,59,65,30,253,15,42,43,52,44,33,24,251,18,35,32,53,44,38,31,247,22,42,44,30,38,49,22,260,24,49,32,51,36,52,16,312,28,47,41,63,54,61,18,347,22,53,57,69,64,61,21,260,13,46,42,52,42,45,20,289,15,40,64,38,63,46,23,402,22,56,62,62,67,99,34,320,11,44,59,51,56,74,25
"지능범죄",통화,7900,184,1451,1425,1354,1425,1541,520,8203,348,1608,1542,1398,1519,1480,308,3874,119,848,725,609,685,710,178,2770,149,547,507,467,466,483,151,1822,80,368,324,331,318,311,90,1811,57,332,332,312,343,356,79,2794,113,621,481,492,471,471,145,1194,34,230,226,208,242,212,42,980,35,186,169,187,177,178,48,626,30,141,123,101,110,99,22,376,17,76,72,61,69,68,13,452,12,90,80,86,77,83,24
"지능범죄",문서・인장,14948,734,3101,2608,2522,2497,2444,1042,14393,886,2603,2468,2393,2414,2571,1058,15385,788,3002,2632,2528,2633,2759,1043,14441,756,2799,2511,2457,2494,2412,1012,14546,806,2823,2443,2465,2480,2459,1070,13295,874,2427,2232,2245,2157,2294,1066,12452,921,2152,1999,1990,2087,2129,1174,12290,673,2202,1992,1893,2710,1991,829,11343,620,2130,1971,1840,2032,1978,772,11533,570,2197,2006,1974,1956,2100,730,10472,416,2026,1959,1843,1853,1790,585,11259,484,2082,2073,1946,1985,2022,667
"지능범죄",유가증권인지,803,45,129,125,143,102,172,87,508,29,90,94,84,77,92,42,456,40,77,64,87,78,73,37,360,21,65,66,54,69,58,27,282,17,46,49,44,53,47,26,219,7,47,45,37,32,38,13,217,11,41,38,37,39,34,17,197,17,20,25,30,32,58,15,140,8,22,16,30,21,24,19,84,2,13,15,19,14,15,6,63,2,18,11,8,10,8,6,58,3,8,17,10,10,8,2
"지능범죄",사기,223470,15536,36993,36988,37171,36696,38607,21479,235366,16590,38739,40051,39195,40396,40317,20078,269082,20398,46295,45449,43920,44068,45061,23891,238409,18083,40767,40381,39182,39064,39947,20985,247293,18943,41581,41723,40939,40262,41122,22723,241613,19759,39426,40183,40326,40052,39638,22229,231489,18962,37853,38286,38155,38937,38384,20912,270029,19524,45478,45020,45399,45752,46698,22158,304472,20814,52740,51876,51225,51654,52039,24124,347675,24493,61648,59192,57917,58505,57481,28439,294075,19660,52445,51793,49687,50177,47878,22435,325848,22374,56266,55981,54397,55538,55241,26051
"지능범죄",횡령,26767,2359,4444,4041,4049,4231,4669,2974,31273,3124,4919,4866,4662,4908,5183,3611,34892,3511,5489,5293,5044,5338,5940,4277,37024,3904,5528,5729,5544,5435,6116,4768,46734,5289,6987,6852,6919,6773,7470,6444,50053,6159,7309,7087,7193,7309,8077,6919,50498,6491,7162,7141,7142,7188,7962,7412,55113,6802,7968,7793,7922,7992,8817,7819,58508,7231,8559,8128,8318,8460,9317,8495,58889,7045,8753,8497,8527,8537,9572,7958,50421,5692,7572,7367,7395,7486,8019,6890,60220,7000,8944,8623,8629,8786,9845,8393
"지능범죄",배임,4725,255,803,745,751,1034,822,315,4229,269,809,703,683,730,718,317,4617,338,752,809,734,772,800,412,4456,298,722,794,747,726,842,327,4289,289,738,711,747,710,777,317,4358,274,706,749,753,706,823,347,3706,273,613,620,610,628,680,282,4344,248,802,761,725,730,790,288,4566,248,859,730,787,735,905,302,4092,215,701,728,735,703,765,245,3466,182,696,619,561,560,615,233,3606,148,667,664,643,640,690,154
"풍속범죄",소계,28834,3030,4300,4145,4344,4454,4982,3579,24801,2932,3660,3995,3850,3772,3594,2998,27373,2883,4114,4537,4206,4155,4217,3261,24976,3068,3347,3962,3793,3775,3859,3172,24491,2902,3463,3617,3700,3677,3771,3361,26165,3011,3700,3974,3779,3902,4296,3503,22501,2825,3266,3354,3232,3221,3323,3280,20162,2564,2871,3040,2934,3057,3199,2497,21153,2529,3063,3130,3303,3204,3273,2651,22632,2979,3357,3559,3333,3140,3418,2846,23360,2914,3547,3201,3443,3635,3742,2878,27113,3542,3955,3751,3937,3993,3934,4001
"풍속범죄",성풍속범죄,13381,1269,2086,1935,2090,2169,2456,1376,14935,1628,2338,2427,2406,2298,2219,1619,19385,1972,3094,2937,3015,3130,3063,2174,16683,1997,2292,2689,2532,2560,2563,2050,16219,1832,2322,2451,2487,2507,2456,2164,12719,1501,1834,2080,1815,1970,1918,1601,13812,1709,1983,2014,1999,2134,2073,1900,14158,1737,1990,2133,2107,2184,2333,1674,13145,1614,1957,1956,2066,1900,1982,1670,14497,1879,2292,2087,2163,2060,2111,1905,16969,2274,2640,2457,2496,2495,2473,2134,22650,3023,3333,3263,3436,3340,3264,2991
"풍속범죄",도박범죄,15453,1761,2214,2210,2254,2285,2526,2203,9866,1304,1322,1568,1444,1474,1375,1379,7988,911,1020,1600,1191,1025,1154,1087,8293,1071,1055,1273,1261,1215,1296,1122,8272,1070,1141,1166,1213,1170,1315,1197,13446,1510,1866,1894,1964,1932,2378,1902,8689,1116,1283,1340,1233,1087,1250,1380,6004,827,881,907,827,873,866,823,8008,915,1106,1174,1237,1304,1291,981,8135,1100,1065,1472,1170,1080,1307,941,6391,640,907,744,947,1140,1269,744,4463,519,622,488,501,653,670,1010
