"범죄별(1)",범죄별(2),범죄별(3),1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005
"범죄별(1)",범죄별(2),범죄별(3),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명)
"특별법범",공중위생관리법,소계,1213,1233,101.6,1307,853,454,882,884,100.2,949,648,301,1172,1172,100.0,1235,852,383,892,889,99.7,987,684,303,1085,1081,99.6,1238,844,394,1358,1358,100.0,1468,1014,454,581,585,100.7,667,441,226,112,118,105.4,149,97,52,121,120,99.1,137,76,61,91,89,97.8,97,57,40,131,131,100.0,137,78,59,107,113,105.6,106,49,57,76,68,89.4,71,53,18
"특별법범",공직선거 및 선거부정방지법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,452,428,94.6,591,465,126,78,72,92.3,98,85,13,385,379,98.4,432,347,85,-,-,-,-,-,-
"특별법범",공직선거법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,27,100.0,30,28,2
"특별법범",관광진흥법,소계,-,-,-,-,-,-,5,3,60.0,3,2,1,5,6,120.0,9,8,1,4,3,75.0,5,5,-,7,5,71.4,9,9,-,19,16,84.2,19,12,7,2,2,100.0,3,3,-,10,8,80.0,9,8,1,8,8,100.0,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",관세법,소계,503,502,99.8,530,379,151,7,7,100.0,22,16,6,4,6,150.0,11,11,-,5,8,160.0,18,15,3,1,1,100.0,1,1,-,-,-,-,-,-,-,3,4,133.3,15,14,1,1,2,200.0,2,1,1,1,1,100.0,1,-,1,5,3,60.0,5,4,1,2,1,50.0,4,4,-,-,-,-,-,-,-,2,2,100.0,2,2,-
"특별법범",교통사고 처리특례법,소계,49328,49214,99.8,50343,47837,2506,42988,42990,100.0,44029,40961,3068,38952,38916,99.9,40717,37372,3345,41441,41344,99.8,42424,39232,3192,37668,37830,100.4,39184,35747,3437,36374,36691,100.9,38077,34608,3469,41203,41602,101.0,42478,39208,3270,46643,45959,98.5,47295,43073,4222,41155,41506,100.8,42874,38161,4713,36740,36707,99.9,37520,33785,3735,36858,36695,99.5,37567,33426,4141,38038,37221,97.8,12635,11101,1534,36539,35162,96.2,35428,34411,1017
"특별법범",국가기술자격법,소계,-,-,-,-,-,-,4,3,75.0,3,3,-,-,-,-,-,-,-,145,144,99.3,146,146,-,5,6,120.0,8,8,-,9,9,100.0,10,10,-,26,26,100.0,29,27,2,9,6,66.7,13,13,-,16,18,112.5,75,75,-,12,13,108.3,26,23,3,5,6,120.0,6,6,-,27,24,88.8,11,10,1,114,42,36.8,44,42,2
"특별법범",국가보안법,소계,76,77,101.3,223,152,71,127,162,127.6,430,320,110,91,105,115.4,528,323,205,155,165,106.5,481,320,161,204,214,104.9,455,329,126,139,188,135.3,401,256,145,100,105,105.0,174,129,45,118,102,86.4,118,92,26,90,77,85.5,101,71,30,68,58,85.2,58,41,17,44,43,97.7,44,32,12,37,31,83.7,27,21,6,22,13,59.0,13,13,-
"특별법범",국민연금법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,24,77.4,25,24,1,11,12,109.0,12,12,-,21,18,85.7,24,23,1,41,37,90.2,45,41,4,6,9,150.0,4,3,1,6,7,116.6,8,6,2
"특별법범",국유재산법,소계,-,-,-,-,-,-,3,3,100.0,3,3,-,3,3,100.0,3,3,-,6,5,83.3,5,3,2,17,18,105.9,19,18,1,5,5,100.0,5,2,3,9,9,100.0,10,10,-,2,2,100.0,2,1,1,5,4,80.0,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
