"죄종별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"상해(상습)","검거건수[건]","건","1","-","","1","","1","8","9","1","1","6","3",
"상해(상습)","발생건수 대비 검거건수[%]","%","50","","","100","","100","100","100","50","100","100","100",
"상해(상습)","검거인원[명]","명","2","-","","1","","2","6","5","3","1","7","5",
"상해(상습)","남자검거인원[명]","명","2","-","","1","","1","6","5","3","1","6","5",
"상해(상습)","여자검거인원[명]","명","-","-","","","","1","-","-","-","-","1","-",
"상해(상습)","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"상해(상습)","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"상해(상습중)","발생건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"상해(상습중)","검거건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"상해(상습중)","발생건수 대비 검거건수[%]","%","-","","","","","-","-","-","-","-","-","-",
"상해(상습중)","검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"상해(상습중)","남자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"상해(상습중)","여자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"상해(상습중)","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"상해(상습중)","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"상해치사","발생건수[건]","건","12","16","12","6","6","5","11","7","5","4","8","5",
"상해치사","검거건수[건]","건","12","15","12","5","6","5","10","7","5","4","7","5",
"상해치사","발생건수 대비 검거건수[%]","%","100","93.8","100","83.3","100","100","90.9","100","100","100","87.5","100",
"상해치사","검거인원[명]","명","13","18","13","6","6","6","23","9","7","6","7","5",
"상해치사","남자검거인원[명]","명","12","17","11","6","6","6","23","8","7","6","6","5",
"상해치사","여자검거인원[명]","명","1","-","2","","","-","-","-","-","-","1","-",
"상해치사","불상검거인원[명]","명","-","1","","","","-","-","1","-","-","-","-",
"상해치사","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"존속상해","발생건수[건]","건","56","58","54","51","73","53","60","61","61","52","39","47",
"존속상해","검거건수[건]","건","53","55","52","53","71","51","59","60","59","51","40","47",
"존속상해","발생건수 대비 검거건수[%]","%","94.6428571429","94.8","96.3","103.9","97.3","96.2","98.3","98.4","96.7","98.1","102.6","100",
"존속상해","검거인원[명]","명","68","72","63","63","83","58","61","73","78","58","44","52",
"존속상해","남자검거인원[명]","명","53","56","45","50","63","46","55","53","58","39","33","43",
"존속상해","여자검거인원[명]","명","15","16","18","13","20","12","6","20","20","19","11","8",
"존속상해","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","1",
"존속상해","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"존속상해(중)","발생건수[건]","건","-","-","","","","-","-","-","-","1","-","-",
"존속상해(중)","검거건수[건]","건","-","-","","","","-","-","-","-","1","-","-",
"존속상해(중)","발생건수 대비 검거건수[%]","%","-","","","","","-","-","-","-","100","-","-",
"존속상해(중)","검거인원[명]","명","-","-","","","","-","-","-","-","1","-","-",
"존속상해(중)","남자검거인원[명]","명","-","-","","","","-","-","-","-","1","-","-",
"존속상해(중)","여자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속상해(중)","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속상해(중)","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"존속상해(상습)","발생건수[건]","건","-","-","","","","-","1","1","-","2","-","2",
"존속상해(상습)","검거건수[건]","건","-","-","","","","-","1","1","-","2","-","2",
"존속상해(상습)","발생건수 대비 검거건수[%]","%","-","","","","","-","100","100","-","100","-","100",
"존속상해(상습)","검거인원[명]","명","-","-","","","","-","1","1","-","2","-","2",
"존속상해(상습)","남자검거인원[명]","명","-","-","","","","-","1","1","-","1","-","2",
"존속상해(상습)","여자검거인원[명]","명","-","-","","","","-","-","-","-","1","-","-",
"존속상해(상습)","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속상해(상습)","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"존속상해(상습중)","발생건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"존속상해(상습중)","검거건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"존속상해(상습중)","발생건수 대비 검거건수[%]","%","-","","","","","-","-","-","-","-","-","-",
"존속상해(상습중)","검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속상해(상습중)","남자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속상해(상습중)","여자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속상해(상습중)","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속상해(상습중)","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"존속상해치사","발생건수[건]","건","1","1","","","2","3","4","1","2","2","-","1",
"존속상해치사","검거건수[건]","건","1","1","","","2","3","4","1","2","2","-","1",
"존속상해치사","발생건수 대비 검거건수[%]","%","100","100","","","100","100","100","100","100","100","-","100",
"존속상해치사","검거인원[명]","명","1","1","","","2","3","4","1","2","2","-","1",
"존속상해치사","남자검거인원[명]","명","1","1","","","2","3","4","1","2","2","-","1",
"존속상해치사","여자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속상해치사","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속상해치사","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"특가법(보복상해등)","발생건수[건]","건","","","","","11","8","6","8","5","6","5","5",
"특가법(보복상해등)","검거건수[건]","건","","","","","10","8","5","8","4","5","5","5",
"특가법(보복상해등)","발생건수 대비 검거건수[%]","%","","","","","90.9","100","83.3","100","80","83.3","100","100",
"특가법(보복상해등)","검거인원[명]","명","","","","","12","11","6","8","5","8","5","6",
"특가법(보복상해등)","남자검거인원[명]","명","","","","","8","9","6","7","5","8","4","5",
"특가법(보복상해등)","여자검거인원[명]","명","","","","","4","2","-","1","-","-","1","1",
"특가법(보복상해등)","불상검거인원[명]","명","","","","","","-","-","-","-","-","-","-",
"특가법(보복상해등)","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"아동학대처벌법위반(상습상해)","발생건수[건]","건","","","","","2","-","-","-","-","-","-","2",
"아동학대처벌법위반(상습상해)","검거건수[건]","건","","","","","2","-","-","-","-","-","-","1",
"아동학대처벌법위반(상습상해)","발생건수 대비 검거건수[%]","%","","","","","100","-","-","-","-","-","-","50",
"아동학대처벌법위반(상습상해)","검거인원[명]","명","","","","","2","-","-","-","-","-","-","1",
"아동학대처벌법위반(상습상해)","남자검거인원[명]","명","","","","","2","-","-","-","-","-","-","1",
"아동학대처벌법위반(상습상해)","여자검거인원[명]","명","","","","","","-","-","-","-","-","-","-",
"아동학대처벌법위반(상습상해)","불상검거인원[명]","명","","","","","","-","-","-","-","-","-","-",
"아동학대처벌법위반(상습상해)","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"특수상해","발생건수[건]","건","","","","","","1","1","7","9","10","16","15",
"특수상해","검거건수[건]","건","","","","","","1","1","7","8","9","10","9",
"특수상해","발생건수 대비 검거건수[%]","%","","","","","","100","100","100","88.9","90","62.5","60",
"특수상해","검거인원[명]","명","","","","","","2","7","10","10","12","13","13",
"특수상해","남자검거인원[명]","명","","","","","","2","4","8","7","7","11","8",
"특수상해","여자검거인원[명]","명","","","","","","-","3","2","3","5","2","3",
"특수상해","불상검거인원[명]","명","","","","","","-","-","-","-","-","-","2",
"특수상해","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"특수상해(중)","발생건수[건]","건","","","","","","-","-","-","-","-","1","1",
"특수상해(중)","검거건수[건]","건","","","","","","-","-","-","-","-","1","1",
"특수상해(중)","발생건수 대비 검거건수[%]","%","","","","","","-","-","-","-","-","100","100",
"특수상해(중)","검거인원[명]","명","","","","","","-","-","-","-","-","1","1",
"특수상해(중)","남자검거인원[명]","명","","","","","","-","-","-","-","-","1","1",
"특수상해(중)","여자검거인원[명]","명","","","","","","-","-","-","-","-","-","-",
"특수상해(중)","불상검거인원[명]","명","","","","","","-","-","-","-","-","-","-",
"특수상해(중)","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"특수상해(상습)","발생건수[건]","건","","","","","","1","-","3","-","1","1","-",
"특수상해(상습)","검거건수[건]","건","","","","","","1","-","3","-","1","1","-",
"특수상해(상습)","발생건수 대비 검거건수[%]","%","","","","","","100","-","100","-","100","100","-",
"특수상해(상습)","검거인원[명]","명","","","","","","1","-","3","-","1","1","-",
"특수상해(상습)","남자검거인원[명]","명","","","","","","1","-","1","-","1","1","-",
"특수상해(상습)","여자검거인원[명]","명","","","","","","-","-","2","-","-","-","-",
"특수상해(상습)","불상검거인원[명]","명","","","","","","-","-","-","-","-","-","-",
"특수상해(상습)","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"존속상해(특수·특수중)","발생건수[건]","건","","","","","","3","8","7","8","10","19","12",
"존속상해(특수·특수중)","검거건수[건]","건","","","","","","3","8","7","8","9","18","12",
"존속상해(특수·특수중)","발생건수 대비 검거건수[%]","%","","","","","","100","100","100","100","90","94.7","100",
"존속상해(특수·특수중)","검거인원[명]","명","","","","","","3","8","7","9","11","19","13",
"존속상해(특수·특수중)","남자검거인원[명]","명","","","","","","2","5","6","8","7","14","10",
"존속상해(특수·특수중)","여자검거인원[명]","명","","","","","","1","3","1","1","4","5","3",
"존속상해(특수·특수중)","불상검거인원[명]","명","","","","","","-","-","-","-","-","-","-",
"존속상해(특수·특수중)","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"폭행","발생건수[건]","건","36789","36194","35003","35970","36909","39350","36317","34316","32905","27806","23329","26521",
"폭행","검거건수[건]","건","33642","33153","32201","33243","34572","37232","34381","32425","31031","26109","21831","24705",
"폭행","발생건수 대비 검거건수[%]","%","91.445812607","91.6","92","92.4","93.7","94.6","94.7","94.5","94.3","93.9","93.6","93.2",
"폭행","검거인원[명]","명","47371","46672","45525","46807","48464","51828","47901","44222","42073","34934","28899","32785",
"폭행","남자검거인원[명]","명","40693","39847","38559","39644","40448","43126","39827","36247","34110","28420","23222","26151",
"폭행","여자검거인원[명]","명","6345","6421","6534","6746","7609","8199","7690","7624","7685","6219","5480","6419",
"폭행","불상검거인원[명]","명","333","404","432","417","407","503","384","351","278","295","197","215",
"폭행","법인체[개]","개","","-","","1","1","-","-","-","-","-","-","1",
"폭행","발생건수[건]","건","35035","34450","33324","34353","35010","36083","33399","31329","29785","24730","19900","22866",
"폭행","검거건수[건]","건","31934","31442","30553","31654","32714","34039","31542","29528","28004","23156","18520","21185",
"폭행","발생건수 대비 검거건수[%]","%","91.1488511489","91.3","91.7","92.1","93.4","94.3","94.4","94.3","94","93.6","93.1","92.6",
"폭행","검거인원[명]","명","45446","44749","43671","45023","46265","47901","44370","40671","38346","31290","24817","28551",
"폭행","남자검거인원[명]","명","38913","38074","36866","38030","38493","39675","36814","33235","30960","25390","19849","22620",
"폭행","여자검거인원[명]","명","6224","6279","6376","6580","7375","7743","7202","7103","7133","5637","4800","5736",
"폭행","불상검거인원[명]","명","309","396","429","413","397","483","354","333","253","263","168","195",
"폭행","법인체[개]","개","","-","","1","1","-","-","-","-","-","-","-",
"폭행(상습)","발생건수[건]","건","1","5","2","3","1","16","21","17","20","24","14","22",
"폭행(상습)","검거건수[건]","건","1","4","2","4","1","17","20","16","17","24","12","21",
