crime_type_original,region_original,region_position,city,region_match,structure_used,occurrence_count,year,source_file,region_version,district,region_full,duplicate_final_key
기타 음란행위,광산,64,광주광역시,True,75지역_군위군포함,27.0,2018,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
기타 음란행위,광산,64,광주광역시,True,75지역_군위군포함,16.0,2019,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
기타 음란행위,광산,64,광주광역시,True,75지역_군위군포함,19.0,2020,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
기타 음란행위,광산,64,광주광역시,True,75지역_군위군포함,14.0,2021,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
기타 음란행위,광산,64,광주광역시,True,75지역_군위군포함,19.0,2022,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
기타 음란행위,광산,64,광주광역시,True,75지역_군위군포함,28.0,2023,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
기타 음란행위,광산,64,광주광역시,True,75지역_군위군포함,20.0,2024,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,,2011,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,1.0,2012,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,1.0,2013,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,,2014,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,,2015,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,,2016,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,,2017,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,,2018,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,,2019,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,,2020,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,,2021,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,,2022,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,,2023,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
낙태,광산,63,광주광역시,True,74지역_군위군없음,,2024,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
