year,region,crime_type,occurrence_count,arrest_count,clearance_rate,source_period,source_file,data_role
1990,범위확인필요,부동산중개업법,130.0,139.0,106.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,부정경쟁방지법,48.0,44.0,91.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,부정수표단속법,13860.0,8476.0,61.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,비밀침해죄,5.0,2.0,40.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,사기,13893.0,12503.0,90.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,사문서위·변조죄,781.0,711.0,91.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,사인위조부정행사죄,8.0,8.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,사회보호법,28.0,21.0,75.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,산림법,32.0,22.0,68.8,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,산업안전보건법,10.0,5.0,50.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,살인,113.0,112.0,99.1,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,살인미수예비음모죄,6.0,9.0,150.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,상법,8.0,9.0,112.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,상습강도죄,13.0,4.0,30.8,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,상습도박죄,43.0,51.0,118.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,상습장물취득죄,2.0,6.0,300.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,상습절도,59.0,65.0,110.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,상표법,364.0,369.0,101.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,상해,4513.0,4440.0,98.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,상해치사,62.0,63.0,101.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,석유사업법,40.0,44.0,110.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,석유산업법,8.0,11.0,137.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,선박안전법,1.0,,0.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,선박직원법,1.0,2.0,200.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,소방법,13.0,21.0,161.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,손괴의죄,815.0,684.0,101.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,수산업법,5.0,4.0,80.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,수산자원보호법,4.0,4.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,식품위생법,12694.0,12689.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,신앙에 관한 죄,15.0,15.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,신용·업무와 경매에 관한 죄,247.0,261.0,105.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,실용신안법,44.0,40.0,90.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,실화 및 업무상실화죄,789.0,392.0,49.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,아동복지법,38.0,34.0,89.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,아편에 관한죄,5.0,6.0,120.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,액화석유가스법,21.0,24.0,114.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,야간주거침입절도,1281.0,951.0,74.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,약사법,238.0,243.0,102.1,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,약취강도죄,3.0,3.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,양곡관리법,25.0,20.0,80.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,어선법,,3.0,,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,업무상배임,177.0,160.0,90.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,업무상장물취득죄,27.0,42.0,155.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,업무상횡령죄,1297.0,1276.0,98.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,에너지이용합리화법,9.0,8.0,88.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,여권법,174.0,176.0,101.1,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,연소죄,2.0,1.0,50.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,영아살해죄,3.0,1.0,33.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,외국환관리법,287.0,297.0,103.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,외환의 죄,2.0,1.0,50.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,우표인지위·변조죄,1.0,,0.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,위계촉탁살인죄,3.0,4.0,133.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,위증죄,397.0,395.0,99.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,유가증권위·변조죄,199.0,140.0,70.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,유기의 죄,20.0,12.0,60.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,유선방송관리법,28.0,28.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,윤락행위등방지법,191.0,208.0,108.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,음반에관한법률,760.0,759.0,99.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,음용수에 관한 죄,32.0,31.0,96.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,음행매개죄,4.0,5.0,125.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,음화반포제조죄,36.0,39.0,108.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,의료법,141.0,137.0,97.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,의장법,67.0,65.0,97.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,인장업단속법,39.0,41.0,105.1,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,일반강도죄,466.0,247.0,53.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,일반물방화죄,65.0,23.0,35.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,일반절도죄,26943.0,5643.0,20.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,일수와 수리에 관한 죄,,1.0,,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,자기소유건조물방화죄,8.0,5.0,62.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,자기소유일반물방화죄,9.0,5.0,55.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,자동차관리법,3853.0,3780.0,98.1,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,자동차운수사업법,2005.0,2049.0,102.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,자살교사방조죄,1.0,1.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,장물취득죄,205.0,231.0,112.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,저작권법,194.0,121.0,62.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,전기용품안전관리법,74.0,67.0,90.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,전염병예방법,10.0,11.0,110.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,절도범,31265.0,9481.0,30.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,점유이탈물횡령죄,384.0,352.0,91.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,정조에 관한죄,233.0,225.0,96.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,조세범처벌법,34.0,25.0,73.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,조수보호 및 수렵에 관한 법률,37.0,44.0,118.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,존속살인죄,3.0,7.0,233.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,존속상해,100.0,91.0,91.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,존속상해치사,1.0,1.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,존속체포·감금죄,2.0,1.0,50.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,존속폭행,93.0,87.0,93.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,존속협박,5.0,3.0,60.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,주거침입의 죄,274.0,279.0,101.8,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,주민등록법,128.0,137.0,107.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,주차장법,839.0,806.0,96.1,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,주택건설촉진법,267.0,257.0,96.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,준강간죄,20.0,17.0,85.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,준강도죄,56.0,57.0,101.8,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,중기관리법,486.0,422.0,86.8,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,지능범,20494.0,18631.0,90.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,직권남용,8.0,9.0,112.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,직무유기죄,22.0,19.0,86.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,직업안정·고용촉진법,269.0,281.0,104.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,집회 및 시위에 관한 법률,602.0,615.0,102.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,철도법,4.0,11.0,275.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,체포감금죄,20.0,18.0,90.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,체포감금치사·상죄,1.0,3.0,300.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,촉탁·승낙살인죄,1.0,1.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
